,deputado_id,nome,idLegislaturaFinal,nomeCivil,siglaSexo,ufNascimento,municipioNascimento
7438,204413,Alcides Rodrigues,56,ALCIDES RODRIGUES FILHO,M,GO,Santa Helena de Goias
7439,204414,Aroldo Martins,56,JOSE AROLDO SOUZA MARTINS,M,SP,Sao Paulo
7440,204415,Nereu Crispim,56,NEREU CRISPIM,M,RS,Porto Alegre
7441,204416,Sanderson,56,UBIRATAN ANTUNES SANDERSON,M,RS,Erechim
7442,204418,Luizao Goulart,56,LUIZ GOULARTE ALVES,M,PR,Jandaia do Sul
7443,204419,Glaustin da Fokus,56,GLAUSKSTON BATISTA RIOS,M,GO,Goiania
7444,204420,Julian Lemos,56,GULLIEM CHARLES BEZERRA LEMOS,M,PB,Campina Grande
7445,204421,Edna Henrique,56,EDNACE ALVES SILVESTRE HENRIQUE,F,BA,Xique-Xique
7446,204422,Ossesio Silva,56,OSSESIO JOSE DA SILVA,M,RJ,Rio de Janeiro
7447,204423,Andre Ferreira,56,ANDRE FERREIRA RODRIGUES,M,PE,Recife
7448,204425,Silvio Costa Filho,56,SILVIO SERAFIM COSTA FILHO,M,PE,Recife
7449,204426,Carlos Veras,56,JOSE CARLOS VERAS DOS SANTOS,M,PE,Tabira
7450,204427,Fernando Rodolfo,56,FERNANDO RODOLFO TENORIO DE VASCONCELOS,M,PE,Garanhuns
7451,204428,Marilia Arraes,56,MARILIA VALENCA ROCHA ARRAES DE ALENCAR,F,PE,Recife
7452,204429,Joao H. Campos,56,JOAO HENRIQUE DE ANDRADE LIMA CAMPOS,M,PE,Recife
7453,204430,Margarete Coelho,56,MARGARETE DE CASTRO COELHO,F,PI,Sao Raimundo Nonato
7454,204431,Marcos Aurelio Sampaio,56,MARCOS AURELIO  PADUA RIBEIRO GONCALVES DE SAMPAIO,M,PI,Teresina
7455,204432,Marina Santos,56,MARINA SANTOS BATISTA DIAS,F,PI,Picos
7456,204433,Marcelo Calero,56,MARCELO CALERO FARIA GARCIA,M,RJ,Rio de Janeiro
7457,204434,Dra. Vanda Milani,56,VANDA DENIR MILANI NOGUEIRA,F,SP,Cedral
7458,204435,Jesus Sergio,56,JESUS SERGIO DE MENEZES,M,AC,Tarauaca
7459,204436,Isnaldo Bulhoes Jr.,56,ISNALDO BULHOES BARROS JUNIOR,M,AL,Maceio
7460,204437,Severino Pessoa,56,SEVERINO DE LIRA PESSOA,M,AL,Arapiraca
7461,204438,Sergio Toledo,56,SERGIO TOLEDO DE ALBUQUERQUE,M,AL,Maceio
7462,204439,Dr. Leonardo,56,LEONARDO RIBEIRO ALBUQUERQUE,M,GO,Rio Verde
7463,204440,Christino Aureo,56,CHRISTINO AUREO DA SILVA,M,RJ,Macae
7464,204441,Otoni de Paula,56,OTONI MOURA DE PAULO JUNIOR,M,RJ,Rio de Janeiro
7465,204442,Gurgel,56,JOAO CARLOS SOARES GURGEL,M,RJ,Rio de Janeiro
7466,204443,Wagner Montes,56,WAGNER MONTES DOS SANTOS,M,RJ,Rio de Janeiro
7467,204444,Helio Lopes,56,HELIO FERNANDO BARBOSA LOPES,M,RJ,Queimados
7468,204445,Fernando Mineiro,56,FERNANDO WANDERLEY VARGAS DA SILVA,M,MG,Curvelo
7469,204446,Professor Joziel,56,JOZIEL FERREIRA CARLOS,M,RJ,Duque de Caxias
7470,204447,Flordelis,56,FLORDELIS DOS SANTOS DE SOUZA,F,RJ,Rio de Janeiro
7471,204448,Luiz Antonio Correa,56,LUIZ ANTONIO DA COSTA CARVALHO CORREA DA SILVA,M,RJ,Rio de Janeiro
7472,204449,Nelson Barbudo,56,NELSON NED PREVIDENTE,M,SP,Poloni
7473,204450,Dr. Luiz Antonio Teixeira Jr.,56,LUIZ ANTONIO DE SOUZA TEIXEIRA JUNIOR,M,RJ,Nova Iguacu
7474,204451,Delegado Antonio Furtado,56,ANTONIO DA LUZ FURTADO,M,RJ,Rio de Janeiro
7475,204452,Marcio Labre,56,MARCIO DA SILVEIRA LABRE,M,RJ,Rio de Janeiro
7476,204453,Natalia Bonavides,56,NATALIA BASTOS BONAVIDES,F,RN,Natal
7477,204454,Daniel Silveira,56,DANIEL LUCIO DA SILVEIRA,M,RJ,Petropolis
7478,204455,Luiz Lima,56,LUIZ EDUARDO CARNEIRO DA SILVA DE SOUZA LIMA,M,RJ,Rio de Janeiro
7479,204456,Gutemberg Reis,56,GUTEMBERG REIS DE OLIVEIRA,M,RJ,Duque de Caxias
7480,204457,Juninho do Pneu,56,ROGERIO TEIXEIRA JUNIOR,M,RJ,Nova Iguacu
7481,204458,Major Fabiana,56,FABIANA SILVA DE SOUZA POUBEL,F,RJ,Rio de Janeiro
7482,204459,Daniela do Waguinho,56,DANIELA MOTE DE SOUZA CARNEIRO,F,RJ,Rio de Janeiro
7483,204460,Carlos Jordy,56,Carlos Roberto Coelho de Mattos Junior,M,RJ,Niteroi
7484,204461,Paulo Ganime,56,PAULO GUSTAVO GANIME ALVES TEIXEIRA,M,RJ,Rio de Janeiro
7485,204462,Chris Tonietto,56,CHRISTINE NOGUEIRA DOS REIS TONIETTO,F,RJ,Rio de Janeiro
7486,204463,Wladimir Garotinho,56,WLADIMIR BARROS ASSED MATHEUS DE OLIVEIRA,M,RJ,Rio de Janeiro
7487,204464,Taliria Petrone,56,TALIRIA PETRONE SOARES,F,RJ,Niteroi
7488,204465,Haroldo Cathedral,56,HAROLDO ALVES CAMPOS,M,MG,Itabira
7489,204466,Tereza Nelma,56,TEREZA NELMA DA SILVA PORTO VIANA SOARES,F,AL,Maceio
7490,204467,Professora Rosa Neide,56,ROSA NEIDE SANDES DE ALMEIDA,F,BA,Amargosa
7491,204468,Joenia Wapichana,56,JOENIA BATISTA DE CARVALHO,F,RR,Boa Vista
7492,204469,Manuel Marcos,56,MANUEL MARCOS CARVALHO DE MESQUITA,M,CE,Tiangua
7493,204471,Mara Rocha,56,CYLMARA FERNANDES DA ROCHA GRIPP,F,AC,Rio Branco
7494,204472,Jose Medeiros,56,JOSE ANTONIO DOS SANTOS MEDEIROS,M,RN,Caico
7495,204473,General Girao,56,ELIESER GIRAO MONTEIRO FILHO,M,CE,Fortaleza
7496,204474,Juarez Costa,56,JUAREZ ALVES DA COSTA,M,PR,Londrina
7497,204475,Ottaci Nascimento,56,JOSE OTACI BARROSO DO NASCIMENTO,M,AM,Eirunepe
7498,204476,Chiquinho Brazao,56,JOAO FRANCISCO INACIO BRAZAO,M,RJ,Rio de Janeiro
7499,204477,Felicio Laterca,56,FELICIO LATERCA DE ALMEIDA,M,RJ,Campos dos Goytacazes
7500,204478,Vinicius Farah,56,VINICIUS MEDEIROS FARAH,M,RJ,Tres Rios
7501,204479,Nicoletti,56,ANTONIO CARLOS NICOLETTI,M,RS,Ijui
7502,204480,Rogerio Correia,56,ROGERIO CORREIA DE MOURA BAPTISTA,M,MG,Belo Horizonte
7503,204481,Dr. Jaziel,56,JAZIEL PEREIRA DE SOUSA,M,CE,Camocim
7504,204482,Euclydes Pettersen,56,EUCLYDES MARCOS PETTERSEN NETO,M,MG,Governador Valadares
7505,204483,Vilson da Fetaemg,56,VILSON LUIZ DA SILVA,M,MG,Claudio
7506,204484,General Peternelli,56,ROBERTO SEBASTIAO PETERNELLI JUNIOR,M,SP,Ribeirao Preto
7507,204485,Luiz Carlos Motta,56,LUIZ CARLOS MOTTA,M,SP,Ribeirao Preto
7508,204486,Mauro Benevides Filho,56,CARLOS MAURO BENEVIDES FILHO,M,CE,Fortaleza
7509,204487,Capitao Wagner,56,WAGNER SOUSA GOMES,M,SP,SAO PAULO
7510,204488,Celio Studart,56,CELIO STUDART BARBOSA,M,CE,Fortaleza
7511,204489,Roberio Monteiro,56,MARCOS ROBERIO RIBEIRO MONTEIRO,M,CE,Itarema
7512,204490,Charlles Evangelista,56,CHARLLES THOMACELLI EVANGELISTA,M,MG,Juiz de Fora
7513,204491,Gilberto Abramo,56,GILBERTO APARECIDO ABRAMO,M,SP,Porto Ferreira
7514,204492,Paulo Guedes,56,PAULO JOSE CARLOS GUEDES,M,MG,Manga
7515,204494,Fred Costa,56,FREDERICO BORGES DA COSTA,M,MG,Belo Horizonte
7516,204495,Airton Faleiro,56,AIRTON LUIZ FALEIRO,M,RS,Tenente Portela
7517,204496,Celso Sabino,56,CELSO SABINO DE OLIVEIRA,M,PA,Belem
7518,204497,Junior Ferrari,56,JOAO FERRARI JUNIOR,M,PA,Oriximina
7519,204498,Olival Marques,56,OLIVAL HENRIQUE MARQUES DE SOUZA,M,PA,Ananindeua
7520,204499,Cassio Andrade,56,CASSIO COELHO ANDRADE,M,BA,Salvador
7521,204500,Eduardo Costa,56,JOSE EDUARDO PEREIRA DA COSTA,M,PA,Belem
7522,204501,Alencar Santana Braga,56,ALENCAR SANTANA BRAGA,M,SP,Guarulhos
7523,204502,Bozzella,56,NICOLINO BOZZELLA JUNIOR,M,SP,Santos
7524,204503,Alexandre Padilha,56,ALEXANDRE ROCHA SANTOS PADILHA,M,SP,Sao Paulo
7525,204504,Cezinha de Madureira,56,ANTONIO CEZAR CORREIA FREIRE,M,BA,Ipiau
7526,204505,Vava Martins,56,WAGNER BACH MARTINS,M,RS,Pelotas
7527,204506,Marcos Pereira,56,MARCOS ANTONIO PEREIRA,M,ES,Linhares
7528,204507,Carla Zambelli,56,CARLA ZAMBELLI SALGADO,F,SP,Ribeirao Preto
7529,204508,Igor Timo,56,IGOR TARCIANO TIMO,M,MG,Virgem da Lapa
7530,204509,Aurea Carolina,56,AUREA CAROLINA DE FREITAS E SILVA,F,PA,Tucurui
7531,204510,Franco Cartafina,56,FRANCO CARTAFINA GOMES,M,MG,Uberaba
7532,204511,David Soares,56,DAVID BEZERRA RIBEIRO SOARES,M,RJ,Rio de Janeiro
7533,204512,Delegado Marcelo Freitas,56,MARCELO EDUARDO FREITAS,M,MG,Montes Claros
7534,204513,Guiga Peixoto,56,JOSE GUILHERME NEGRAO PEIXOTO,M,SP,Tatui
7535,204514,Coronel Tadeu,56,MARCIO TADEU ANHAIA DE LEMOS,M,SP,SAO PAULO
7536,204515,Andre Janones,56,ANDRE LUIS GASPAR JANONES,M,MG,Ituiutaba
7537,204516,Alexis Fonteyne,56,Alexis Joseph Steverlynck Fonteyne,M,SP,Campinas
7538,204517,Ze Vitor,56,JOSE VITOR DE RESENDE AGUIAR,M,MG,Araguari
7539,204518,Dr. Frederico,56,FREDERICO DE CASTRO ESCALEIRA,M,RJ,Teresopolis
7540,204519,Tiago Mitraud,56,TIAGO LIMA MITRAUD DE CASTRO LEITE,M,DF,Brasilia
7541,204520,Junio Amaral,56,GERALDO JUNIO DO AMARAL,M,MG,Belo Horizonte
7542,204521,Abou Anni,56,PAULO SERGIO ABOU ANNI,M,SP,Sao Paulo
7543,204522,Marco Bertaiolli,56,MARCO AURELIO BERTAIOLLI,M,SP,Mogi das Cruzes
7544,204523,Lucas Gonzalez,56,LUCAS DE VASCONCELOS GONZALEZ,M,MG,Belo Horizonte
7545,204524,Pinheirinho,56,ANTONIO PINHEIRO NETO,M,MG,Belo Horizonte
7546,204525,Rosana Valle,56,ROSANA DE OLIVEIRA VALLE,F,SP,Santos
7547,204526,Luiz Philippe de Orleans e Braganca,56,LUIZ PHILIPPE DE ORLEANS BRAGANCA,M,RJ,Rio de Janeiro
7548,204527,Geninho Zuliani,56,EUGENIO JOSE ZULIANI,M,SP,Ribeirao Pires
7549,204528,Adriana Ventura,56,ADRIANA MIGUEL VENTURA,F,SP,Sao Paulo
7550,204529,Policial Katia Sastre,56,KATIA DA SILVA SASTRE,F,SP,Sao Paulo
7551,204530,Rodrigo Agostinho,56,RODRIGO ANTONIO DE AGOSTINHO MENDONCA,M,SP,Cafelandia
7552,204531,Guilherme Derrite,56,GUILHERME MURARO DERRITE,M,SP,Sorocaba
7553,204532,Vinicius Poit,56,VINICIUS LAZZER POIT,M,SP,Sao Bernardo do Campo
7554,204533,Idilvan Alencar,56,ANTONIO IDILVAN DE LIMA ALENCAR,M,CE,Crato
7555,204534,Tabata Amaral,56,TABATA CLAUDIA AMARAL DE PONTES,F,SP,Sao Paulo
7556,204535,Samia Bomfim,56,SAMIA DE SOUZA BOMFIM,F,SP,Presidente Prudente
7557,204536,Kim Kataguiri,56,KIM PATROCA KATAGUIRI,M,SP,Salto
7558,204537,Enrico Misasi,56,ENRICO VAN BLARCUM DE GRAAFF MISASI,M,SP,Sao Paulo
7559,204538,Paulo Bengtson,56,PAULO EDUARDO MAESTRI BENGTSON,M,BA,Vitoria da Conquista
7560,204539,Hercilio Coelho Diniz,56,HERCILIO ARAUJO DINIZ FILHO,M,MG,Governador Valadares
7561,204540,Maria Rosas,56,MARIA DO PARTO MENDES ROSAS,F,RJ,Angra dos Reis
7562,204541,Eduardo Bismarck,56,EDUARDO HENRIQUE MAIA BISMARCK,M,CE,Fortaleza
7563,204542,Denis Bezerra,56,DENIS ANDERSON DA ROCHA BEZERRA,M,CE,Fortaleza
7564,204543,Luiz Flavio Gomes,56,LUIZ FLAVIO GOMES,M,SP,Sud Menucci
7565,204544,Alexandre Frota,56,ALEXANDRE FROTA DE ANDRADE,M,RJ,Rio de Janeiro
7566,204545,Ale Silva,56,ALESSANDRA DA SILVA,F,RJ,Petropolis
7567,204546,Joice Hasselmann,56,JOICE CRISTINA HASSELMANN,F,PR,Ponta Grossa
7568,204547,Leo Motta,56,ELIEL MARCIO DO CARMO,M,MG,Contagem
7569,204548,Heitor Freire,56,HEITOR RODRIGO PEREIRA FREIRE,M,CE,Juazeiro do Norte
7570,204549,AJ Albuquerque,56,ANTONIO JOSE AGUIAR ALBUQUERQUE,M,CE,Fortaleza
7571,204550,Junior Mano,56,ANTONIO LUIZ RODRIGUES MANO JUNIOR,M,CE,Nova Russas
7572,204551,Bosco Saraiva,56,JOAO BOSCO GOMES SARAIVA,M,AM,Manaus
7573,204552,Eduardo Braide,56,EDUARDO SALIM BRAIDE,M,MA,Sao Luis
7574,204553,Pastor Sargento Isidorio,56,MANOEL ISIDORIO DE SANTANA JUNIOR,M,BA,Salvador
7575,204554,Abilio Santana,56,JOSE ABILIO SILVA DE SANTANA,M,BA,Salvador
7576,204555,Jose Ricardo,56,JOSE RICARDO WENDLING,M,RS,Montenegro
7577,204556,Marcelo Ramos,56,MARCELO RAMOS RODRIGUES,M,AM,Manaus
7578,204557,Sidney Leite,56,SIDNEY RICARDO DE OLIVEIRA LEITE,M,AM,Manaus
7579,204558,Marcelo Nilo,56,JOSE MARCELO DO NASCIMENTO NILO,M,BA,Antas
7580,204559,Ze Neto,56,JOSE CERQUEIRA DE SANTANA NETO,M,BA,Feira de Santana
7581,204560,Adolfo Viana,56,ADOLFO VIANA DE CASTRO NETO,M,BA,Salvador
7582,204561,Bira do Pindare,56,UBIRAJARA DO PINDARE ALMEIDA SOUSA,M,MA,Pindare Mirim
7583,204562,Edilazio Junior,56,EDILAZIO GOMES DA SILVA JUNIOR,M,MA,Sao Luis
7584,204563,Josimar Maranhaozinho,56,JOSIMAR CUNHA RODRIGUES,M,CE,Varzea Alegre
7585,204564,Igor Kannario,56,ANDERSON MACHADO DE JESUS,M,BA,Salvador
7586,204565,Professora Dayane Pimentel,56,DAYANE JAMILLE CARNEIRO DOS SANTOS PIMENTEL,F,BA,Feira de Santana
7587,204566,Marreca Filho,56,ANTONIO DA CRUZ FILGUEIRA NETO,M,MA,Sao Luis
7588,204567,Raimundo Costa,56,RAIMUNDO MAGALHAES COSTA,M,BA,Valenca
7589,204569,Delegado Pablo,56,PABLO OLIVA SOUZA,M,AM,Manaus
7590,204570,Pastor Gil,56,GILDENEMIR DE LIMA SOUSA,M,MA,Sao Luis
7591,204571,Alex Santana,56,ALEX MARCO SANTANA SOUSA,M,BA,Salvador
7592,204572,Capitao Alberto Neto,56,ALBERTO BARROS CAVALCANTE NETO,M,CE,Fortaleza
7593,204573,Otto Alencar Filho,56,OTTO ROBERTO MENDONCA DE ALENCAR FILHO,M,BA,Salvador
7594,204574,Junior Lourenco,56,JOSE LOURENCO BOMFIM JUNIOR,M,MA,Sao Luis
7595,204575,Gil Cutrim,56,GILLIANO FRED NASCIMENTO CUTRIM,M,MA,Sao Luis
7596,204576,Joao Roma,56,JOAO INACIO RIBEIRO ROMA NETO,M,PE,Recife
7604,205476,Charles Fernandes,56,CHARLES FERNANDES SILVEIRA SANTANA,M,BA,Guanambi
7605,205535,Patricia Ferraz,56,PATRICIA LIMA FERRAZ,F,MG,Belo Horizonte
7606,205548,David Miranda,56,DAVID MICHAEL DOS SANTOS MIRANDA,M,RJ,Rio de Janeiro
7607,205550,Jorge Braz,56,JORGE BRAZ DE OLIVEIRA,M,MG,Palma
7608,205863,Marcelo Brum,56,MARCELO DE BRUM DA COSTA,M,RS,Santiago
7609,205865,Reinhold Stephanes Junior,56,REINHOLD STEPHANES JUNIOR,M,PR,Curitiba
7610,206231,Ted Conti,56,JOAO BATISTA CONTI,M,ES,Muqui
7611,207176,Bia Cavassa,56,BEATRIZ ROSALIA RIBEIRO CAVASSA DE OLIVEIRA,F,MS,Corumba
7612,207309,Eneias Reis,56,ENEIAS JOSE DOS REIS,M,MG,Coronel Fabriciano
7613,209189,Joseildo Ramos,56,JOSEILDO RIBEIRO RAMOS,M,BA,Alagoinhas
7614,211649,Ricardo Pericar,56,RICARDO DE SOUZA COSTA,M,RJ,Rio de Janeiro
7615,211866,Fabiano Tolentino,56,FABIANO GALLETTI TOLENTINO,M,MG,Belo Horizonte
7616,212504,Fernando Borja,56,FERNANDO BORJA PINTO,M,MG,Belo Horizonte
7617,212625,Dr. Goncalo,56,ANTONIO ELIZABETH GONCALO DE SOUSA,M,MA,Pastos Bons
7618,212749,Marcao Gomes,56,MARCUS WELBER GOMES DA SILVA,M,RJ,Rio de Janeiro
7619,213274,Ricardo Silva,56,RICARDO AUGUSTO MACHADO DA SILVA,M,SP,Ribeirao Preto
7620,213679,Dr. Joao,56,JOAO ANTONIO HOLANDA CALDAS,M,AL,Maceio
7621,213762,Carla Dickson,56,HILKEA CARLA DE SOUZA MEDEIROS LIMA,F,PA,Belem
7622,213854,Dr. Agripino Magalhaes,56,AGRIPINO RODRIGUES GOMES MAGALHAES,M,CE,Boa Viagem
7623,213856,Deuzinho Filho,56,FRANCISCO DEUZINHO DE OLIVEIRA FILHO,M,CE,Caucaia
7624,214445,Nilson F. Stainsack,56,NILSON FRANCISCO STAINSACK,M,SC,Presidente Getulio
7625,214477,Renato Queiroz,56,RENATO ANDRADE QUEIROZ,M,RR,Boa Vista
7626,214694,Jorge Goetten,56,JORGE GOETTEN DE LIMA,M,SC,Itajai
